triple_key	row_idx	canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	canonical_id_right	name_right	role_right	gender_right	corrected_agent	corrected_verb	corrected_patient	changed	changes_applied	is_new	agent_byte_start	agent_byte_end	verb_byte_start	verb_byte_end	patient_byte_start	patient_byte_end
10_5_45012_judge	258	10	Isaac Morris	agent	judge	judge	45012	True	m	5	Emily Brent	patient	f	William Henry Blore	judge	Emily Brent	True	"agent: ""Isaac Morris"" → ""William Henry Blore"""	False						
5_1_45082_told	259	5	Emily Brent	agent	told	tell	45082	False	f	1	Vera Elizabeth Claythorne	patient	f	Emily Brent	told	Vera Elizabeth Claythorne	False		False						
5_0_45095_tell	260	5	Emily Brent	agent	tell	tell	45095	False	f	0	Lawrence John Wargrave	patient	m	Emily Brent	tell	Vera Elizabeth Claythorne	True	"patient: ""Lawrence John Wargrave"" → ""Vera Elizabeth Claythorne"""	False						
0_3_45267_ask observe	261	0	Lawrence John Wargrave	agent	ask observe	ask observe	45267	False	m	3	Edward George Armstrong	patient	m	Lawrence John Wargrave	ask observe	Edward George Armstrong	False		False						
3_0_45875_looked	262	3	Edward George Armstrong	agent	looked	look	45875	False	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	looked	Lawrence John Wargrave	False		False						
3_1_45875_looked	263	3	Edward George Armstrong	agent	looked	look	45875	False	m	1	Vera Elizabeth Claythorne	patient	f	Edward George Armstrong	looked	Vera Elizabeth Claythorne	False		False						
3_0_45888_tell	264	3	Edward George Armstrong	agent	tell	tell	45888	False	m	0	Lawrence John Wargrave	patient	m	Edward George Armstrong	tell	Lawrence John Wargrave	False		False						
4_2_45900_looking	265	4	William Henry Blore	agent	looking	look	45900	False	m	2	Philip Lombard	patient	m	William Henry Blore	looking	Philip Lombard	False		False						
0_1_48559_think	269	0	Lawrence John Wargrave	agent	think	think	48559	False	m	1	Vera Elizabeth Claythorne	patient	f	INCORRECT_TRIPLE	think	Vera Elizabeth Claythorne	True	"agent: ""Lawrence John Wargrave"" → ""INCORRECT_TRIPLE"""	False						
14_1_49059_was	270	14	Hugo Hamilton	agent	was	be	49059	False	m	1	Vera Elizabeth Claythorne	patient	f	Hugo Hamilton	was beside [be beside]	Vera Elizabeth Claythorne	True	"verb: ""was [be]"" → ""was beside [be beside]"""	False						
3_1_49715_supported	273	3	Edward George Armstrong	agent	supported	support	49715	False	m	1	Vera Elizabeth Claythorne	patient	f	Edward George Armstrong	supported	Vera Elizabeth Claythorne	False		False						
4_1_50120_knock	275	4	William Henry Blore	agent	knock	knock	50120	False	m	1	Vera Elizabeth Claythorne	patient	f	William Henry Blore	knock	Edward George Armstrong	True	"patient: ""Vera Elizabeth Claythorne"" → ""Edward George Armstrong"""	False						
10_4_50186_came	276	10	Isaac Morris	agent	came	come	50186	False	m	4	William Henry Blore	patient	m	INCORRECT_TRIPLE	came	William Henry Blore	True	"agent: ""Isaac Morris"" → ""INCORRECT_TRIPLE"""	False						
0_3_50202_following	277	0	Lawrence John Wargrave	agent	following	follow	50202	False	m	3	Edward George Armstrong	patient	m	Lawrence John Wargrave	following	Edward George Armstrong	False		False						
1_15_51706_said	278	1	Vera Elizabeth Claythorne	agent	said	say	51706	False	f	15	Cyril Ogilvie Hamilton	patient	m	Vera Elizabeth Claythorne	said	Cyril Ogilvie Hamilton	False		False						
1_0_51794_tell	279	1	Vera Elizabeth Claythorne	agent	tell	tell	51794	False	f	0	Lawrence John Wargrave	patient	m	Vera Elizabeth Claythorne	tell	Cyril Ogilvie Hamilton	True	"patient: ""Lawrence John Wargrave"" → ""Cyril Ogilvie Hamilton"""	False						
14_1_52043_looked	280	14	Hugo Hamilton	agent	looked	look	52043	False	m	1	Vera Elizabeth Claythorne	patient	f	Hugo Hamilton	looked	Vera Elizabeth Claythorne	False		False						
1_14_52081_written	281	1	Vera Elizabeth Claythorne	agent	written	write	52081	False	f	14	Hugo Hamilton	patient	m	Vera Elizabeth Claythorne	written	Hugo Hamilton	False		False						
1_14_52102_think	282	1	Vera Elizabeth Claythorne	agent	think	think	52102	True	f	14	Hugo Hamilton	patient	m	Vera Elizabeth Claythorne	think	Hugo Hamilton	False		False						
