triple_key	row_idx	canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	canonical_id_right	name_right	role_right	gender_right	corrected_agent	corrected_verb	corrected_patient	changed	changes_applied	is_new	agent_byte_start	agent_byte_end	verb_byte_start	verb_byte_end	patient_byte_start	patient_byte_end
20_19_18327_teased	86	20	Leslie Macarthur	agent	teased	tease	18327	False	f	19	Arthur Richmond	patient	m	Leslie Macarthur	teased	Arthur Richmond	False		False						
20_19_18330_made	87	20	Leslie Macarthur	agent	made	make	18330	False	f	19	Arthur Richmond	patient	m	Leslie Macarthur	made	Arthur Richmond	False		False						
20_19_18335_ragged	88	20	Leslie Macarthur	agent	ragged	rag	18335	False	f	19	Arthur Richmond	patient	m	Leslie Macarthur	ragged	Arthur Richmond	False		False						
19_20_18370_was	89	19	Arthur Richmond	agent	was	be	18370	False	m	20	Leslie Macarthur	patient	f	Arthur Richmond	was	Leslie Macarthur	False		False						
6_20_18383_loved	90	6	John Gordon Macarthur	agent	loved	love	18383	False	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	loved	Leslie Macarthur	False		False						
6_20_18388_see	91	6	John Gordon Macarthur	agent	see	see	18388	False	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	see	Leslie Macarthur	False		False						
6_20_18414_loved	92	6	John Gordon Macarthur	agent	loved	love	18414	False	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	loved	Leslie Macarthur	False		False						
6_20_18419_believed	93	6	John Gordon Macarthur	agent	believed	believe	18419	False	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	believed	Leslie Macarthur	False		False						
6_20_18446_taken	94	6	John Gordon Macarthur	agent	taken	take	18446	False	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	taken	Leslie Macarthur	False		False						
20_19_18495_put	95	20	Leslie Macarthur	agent	put	put	18495	False	f	19	Arthur Richmond	patient	m	Leslie Macarthur	put	Arthur Richmond	False		False						
28_6_18667_looked	96	28	Armitage	agent	looked	look	18667	False	m	6	John Gordon Macarthur	patient	m	Armitage	looked	John Gordon Macarthur	False		False						
28_19_18703_sent	97	28	Armitage	agent	sent	send	18703	False	m	19	Arthur Richmond	patient	m	Armitage	sent	Arthur Richmond	False		False						
20_19_18851_wept	98	20	Leslie Macarthur	agent	wept	weep	18851	False	f	19	Arthur Richmond	patient	m	Leslie Macarthur	wept	Arthur Richmond	False		False						
14_0_19755_love	99	14	Hugo Hamilton	agent	love	love	19755	False	m	0	Lawrence John Wargrave	patient	m	Hugo Hamilton	love	Vera Elizabeth Claythorne	True	"patient: ""Vera Claythorne"" → ""Vera Elizabeth Claythorne"""	False						
14_0_19759_love	100	14	Hugo Hamilton	agent	love	love	19759	False	m	0	Lawrence John Wargrave	patient	m	Hugo Hamilton	love	Vera Elizabeth Claythorne	True	"patient: ""Vera Claythorne"" → ""Vera Elizabeth Claythorne"""	False						
14_0_19765_love	101	14	Hugo Hamilton	agent	love	love	19765	False	m	0	Lawrence John Wargrave	patient	m	Hugo Hamilton	love	Vera Elizabeth Claythorne	True	"patient: ""Vera Claythorne"" → ""Vera Elizabeth Claythorne"""	False						
14_0_19787_ask marry	102	14	Hugo Hamilton	agent	ask marry	ask marry	19787	True	m	0	Lawrence John Wargrave	patient	m	Hugo Hamilton	ask marry	Vera Elizabeth Claythorne	True	"patient: ""Vera Claythorne"" → ""Vera Elizabeth Claythorne"""	False						
1_7_20075_remembered	103	1	Vera Elizabeth Claythorne	agent	remembered	remember	20075	False	f	7	Anthony James Marston	patient	m	Vera Elizabeth Claythorne	remembered	Anthony James Marston	False		False						
3_8_20670_followed	104	3	Edward George Armstrong	agent	followed	follow	20670	False	m	8	Thomas Rogers	patient	m	Edward George Armstrong	followed	Thomas Rogers	False		False						
8_3_20945_stared	105	8	Thomas Rogers	agent	stared	star	20945	False	m	3	Edward George Armstrong	patient	m	Thomas Rogers	stared	Edward George Armstrong	False		False						
4_2_21294_said	106	4	William Henry Blore	agent	said	say	21294	False	m	2	Philip Lombard	patient	m	William Henry Blore	said	Philip Lombard	False		False						
3_5_21860_turned	108	3	Edward George Armstrong	agent	turned	turn	21860	False	m	5	Emily Brent	patient	f	Edward George Armstrong	turned	Emily Brent	False		False						
9_6_21895_accused	109	9	Ethel Rogers	agent	accused	accuse	21895	False	f	6	John Gordon Macarthur	patient	m	Ethel Rogers	accused	Owen	True	"patient: ""John Gordon Macarthur"" → ""Owen"""	False						
3_0_22206_bet	111	3	Edward George Armstrong	agent	bet	bet	22206	False	m	0	Lawrence John Wargrave	patient	m	William Henry Blore	bet	Edward George Armstrong	True	"agent: ""Edward George Armstrong"" → ""William Henry Blore""; patient: ""Lawrence John Wargrave"" → ""Edward George Armstrong"""	False						
8_3_22223_assures	112	8	Thomas Rogers	agent	assures	assure	22223	False	m	3	Edward George Armstrong	patient	m	Thomas Rogers	assures	Edward George Armstrong	False		False						
3_4_22254_looked	113	3	Edward George Armstrong	agent	looked	look	22254	False	m	4	William Henry Blore	patient	m	Edward George Armstrong	looked	William Henry Blore	False		False						
8_9_22320_polished	114	8	Thomas Rogers	agent	polished	polish	22320	False	m	9	Ethel Rogers	patient	f	Thomas Rogers	polished	Ethel Rogers	False		False						
