triple_key	row_idx	canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	canonical_id_right	name_right	role_right	gender_right	corrected_agent	corrected_verb	corrected_patient	changed	changes_applied	is_new	agent_byte_start	agent_byte_end	verb_byte_start	verb_byte_end	patient_byte_start	patient_byte_end
0_9_31071_give	172	0	Lawrence John Wargrave	agent	give	give	31071	False	m	9	Ethel Rogers	patient	f	Edward George Armstrong	give	Ethel Rogers	True	"agent: ""Lawrence John Wargrave"" → ""Edward George Armstrong"""	False						
3_4_31081_stared	173	3	Edward George Armstrong	agent	stared	star	31081	False	m	4	William Henry Blore	patient	m	Edward George Armstrong	stared	William Henry Blore	False		False						
0_9_31103_give	175	0	Lawrence John Wargrave	agent	give	give	31103	False	m	9	Ethel Rogers	patient	f	Edward George Armstrong	give	Ethel Rogers	True	"agent: ""Lawrence John Wargrave"" → ""Edward George Armstrong"""	False						
4_9_31133_gave	176	4	William Henry Blore	agent	gave	give	31133	False	m	9	Ethel Rogers	patient	f	Edward George Armstrong	gave	Ethel Rogers	True	"agent: ""William Henry Blore"" → ""Edward George Armstrong"""	False						
0_9_31167_give	177	0	Lawrence John Wargrave	agent	give	give	31167	True	m	9	Ethel Rogers	patient	f	Edward George Armstrong	give	Ethel Rogers	True	"agent: ""Lawrence John Wargrave"" → ""Edward George Armstrong"""	False						
3_9_31255_gave	178	3	Edward George Armstrong	agent	gave	give	31255	False	m	9	Ethel Rogers	patient	f	Edward George Armstrong	gave	Ethel Rogers	False		False						
2_4_31373_said	179	2	Philip Lombard	agent	said	say	31373	False	m	4	William Henry Blore	patient	m	Philip Lombard	said	William Henry Blore	False		False						
10_4_31448_shut	180	10	Isaac Morris	agent	shut	shut	31448	False	m	4	William Henry Blore	patient	m	Philip Lombard	shut	William Henry Blore	True	"agent: ""Isaac Morris"" → ""Philip Lombard"""	False						
10_2_31684_offered	182	10	Isaac Morris	agent	offered	offer	31684	False	m	2	Philip Lombard	patient	m	Isaac Morris	offered	Philip Lombard	False		False						
10_0_31744_told	183	10	Isaac Morris	agent	told	tell	31744	False	m	0	Lawrence John Wargrave	patient	m	Isaac Morris	told	Philip Lombard	True	"patient: ""Lawrence John Wargrave"" → ""Philip Lombard"""	False						
8_5_32361_addressed	187	8	Thomas Rogers	agent	addressed	address	32361	False	m	5	Emily Brent	patient	f	Thomas Rogers	addressed	Emily Brent	False		False						
