triple_key	row_idx	canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	canonical_id_right	name_right	role_right	gender_right	corrected_agent	corrected_verb	corrected_patient	changed	changes_applied	is_new	agent_byte_start	agent_byte_end	verb_byte_start	verb_byte_end	patient_byte_start	patient_byte_end
0_9_31071_give	172	0	Lawrence John Wargrave	agent	give	give	31071	false	m	9	Ethel Rogers	patient	f	Edward George Armstrong	give	Ethel Rogers	true	agent: "Lawrence John Wargrave" → "Edward George Armstrong"	false						
3_4_31081_stared	173	3	Edward George Armstrong	agent	stared	star	31081	false	m	4	William Henry Blore	patient	m	Edward George Armstrong	stared	William Henry Blore	false		false						
10_2_31099_said	174	10	Isaac Morris	agent	said	say	31099	false	m	2	Philip Lombard	patient	m	INCORRECT_TRIPLE	said	Philip Lombard	true	agent: "" → "INCORRECT_TRIPLE"	false						
0_9_31103_give	175	0	Lawrence John Wargrave	agent	give	give	31103	false	m	9	Ethel Rogers	patient	f	Edward George Armstrong	give	Ethel Rogers	true	agent: "Lawrence John Wargrave" → "Edward George Armstrong"	false						
4_9_31133_gave	176	4	William Henry Blore	agent	gave	give	31133	false	m	9	Ethel Rogers	patient	f	Edward George Armstrong	gave	Ethel Rogers	true	agent: "William Henry Blore" → "Edward George Armstrong"	false						
0_9_31167_give	177	0	Lawrence John Wargrave	agent	give	give	31167	true	m	9	Ethel Rogers	patient	f	Edward George Armstrong	give	Ethel Rogers	true	agent: "Lawrence John Wargrave" → "Edward George Armstrong"	false						
3_9_31255_gave	178	3	Edward George Armstrong	agent	gave	give	31255	false	m	9	Ethel Rogers	patient	f	Edward George Armstrong	gave	Ethel Rogers	false		false						
2_4_31373_said	179	2	Philip Lombard	agent	said	say	31373	false	m	4	William Henry Blore	patient	m	Philip Lombard	said	William Henry Blore	false		false						
10_4_31448_shut	180	10	Isaac Morris	agent	shut	shut	31448	false	m	4	William Henry Blore	patient	m	Philip Lombard	shut	William Henry Blore	true	agent: "Isaac Morris" → "Philip Lombard"	false						
10_0_31468_is	181	10	Isaac Morris	agent	is	be	31468	false	m	0	Lawrence John Wargrave	patient	m	INCORRECT_TRIPLE	is	Lawrence John Wargrave	true	agent: "Isaac Morris" → "INCORRECT_TRIPLE"	false						
10_2_31684_offered	182	10	Isaac Morris	agent	offered	offer	31684	false	m	2	Philip Lombard	patient	m	Isaac Morris	offered	Philip Lombard	false		false						
