triple_key	row_idx	canonical_id_left	name_left	role_left	word	lemma	index	negated	gender_left	canonical_id_right	name_right	role_right	gender_right	corrected_agent	corrected_verb	corrected_patient	changed	changes_applied	is_new	agent_byte_start	agent_byte_end	verb_byte_start	verb_byte_end	patient_byte_start	patient_byte_end
20_19_18327_teased	86	20	Leslie Macarthur	agent	teased	tease	18327	false	f	19	Arthur Richmond	patient	m	Leslie Macarthur	teased	Arthur Richmond	false		false						
20_19_18330_made	87	20	Leslie Macarthur	agent	made	make	18330	false	f	19	Arthur Richmond	patient	m	Leslie Macarthur	made	Arthur Richmond	false		false						
20_19_18335_ragged	88	20	Leslie Macarthur	agent	ragged	rag	18335	false	f	19	Arthur Richmond	patient	m	Leslie Macarthur	ragged	Arthur Richmond	false		false						
19_20_18370_was	89	19	Arthur Richmond	agent	was	be	18370	false	m	20	Leslie Macarthur	patient	f	Arthur Richmond	was	Leslie Macarthur	false		false						
6_20_18383_loved	90	6	John Gordon Macarthur	agent	loved	love	18383	false	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	loved	Leslie Macarthur	false		false						
6_20_18388_see	91	6	John Gordon Macarthur	agent	see	see	18388	false	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	see	Leslie Macarthur	false		false						
6_20_18414_loved	92	6	John Gordon Macarthur	agent	loved	love	18414	false	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	loved	Leslie Macarthur	false		false						
6_20_18419_believed	93	6	John Gordon Macarthur	agent	believed	believe	18419	false	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	believed	Leslie Macarthur	false		false						
6_20_18446_taken	94	6	John Gordon Macarthur	agent	taken	take	18446	false	m	20	Leslie Macarthur	patient	f	John Gordon Macarthur	taken	Leslie Macarthur	false		false						
20_19_18495_put	95	20	Leslie Macarthur	agent	put	put	18495	false	f	19	Arthur Richmond	patient	m	Leslie Macarthur	put	Arthur Richmond	false		false						
28_6_18667_looked	96	28	Armitage	agent	looked	look	18667	false	m	6	John Gordon Macarthur	patient	m	Armitage	looked	John Gordon Macarthur	false		false						
28_19_18703_sent	97	28	Armitage	agent	sent	send	18703	false	m	19	Arthur Richmond	patient	m	Armitage	sent	Arthur Richmond	false		false						
20_19_18851_wept	98	20	Leslie Macarthur	agent	wept	weep	18851	false	f	19	Arthur Richmond	patient	m	Leslie Macarthur	wept	Arthur Richmond	false		false						
14_0_19755_love	99	14	Hugo Hamilton	agent	love	love	19755	false	m	0	Lawrence John Wargrave	patient	m	Hugo Hamilton	love	Vera Elizabeth Claythorne	true	patient: "Vera Claythorne" → "Vera Elizabeth Claythorne"	false						
14_0_19759_love	100	14	Hugo Hamilton	agent	love	love	19759	false	m	0	Lawrence John Wargrave	patient	m	Hugo Hamilton	love	Vera Elizabeth Claythorne	true	patient: "Vera Claythorne" → "Vera Elizabeth Claythorne"	false						
14_0_19765_love	101	14	Hugo Hamilton	agent	love	love	19765	false	m	0	Lawrence John Wargrave	patient	m	Hugo Hamilton	love	Vera Elizabeth Claythorne	true	patient: "Vera Claythorne" → "Vera Elizabeth Claythorne"	false						
14_0_19787_ask marry	102	14	Hugo Hamilton	agent	ask marry	ask marry	19787	true	m	0	Lawrence John Wargrave	patient	m	Hugo Hamilton	ask marry	Vera Elizabeth Claythorne	true	patient: "Vera Claythorne" → "Vera Elizabeth Claythorne"	false						
1_7_20075_remembered	103	1	Vera Elizabeth Claythorne	agent	remembered	remember	20075	false	f	7	Anthony James Marston	patient	m	Vera Elizabeth Claythorne	remembered	Anthony James Marston	false		false						
3_8_20670_followed	104	3	Edward George Armstrong	agent	followed	follow	20670	false	m	8	Thomas Rogers	patient	m	Edward George Armstrong	followed	Thomas Rogers	false		false						
8_3_20945_stared	105	8	Thomas Rogers	agent	stared	star	20945	false	m	3	Edward George Armstrong	patient	m	Thomas Rogers	stared	Edward George Armstrong	false		false						
4_2_21294_said	106	4	William Henry Blore	agent	said	say	21294	false	m	2	Philip Lombard	patient	m	William Henry Blore	said	Philip Lombard	false		false						
0_1_21662_had	107	0	Lawrence John Wargrave	agent	had	have	21662	false	m	1	Vera Elizabeth Claythorne	patient	f	Lawrence John Wargrave	had	INCORRECT_TRIPLE	true	patient: "Everyone" → "INCORRECT_TRIPLE"	false						
3_5_21860_turned	108	3	Edward George Armstrong	agent	turned	turn	21860	false	m	5	Emily Brent	patient	f	Edward George Armstrong	turned	Emily Brent	false		false						
9_6_21895_accused	109	9	Ethel Rogers	agent	accused	accuse	21895	false	f	6	John Gordon Macarthur	patient	m	Ethel Rogers	accused	Owen	true	patient: "John Gordon Macarthur" → "Owen"	false						
10_9_21936_saw	110	10	Isaac Morris	agent	saw	see	21936	false	m	9	Ethel Rogers	patient	f	INCORRECT_TRIPLE	saw	Ethel Rogers	true	agent: "Everyone" → "INCORRECT_TRIPLE"	false						
3_0_22206_bet	111	3	Edward George Armstrong	agent	bet	bet	22206	false	m	0	Lawrence John Wargrave	patient	m	William Henry Blore	bet	Edward George Armstrong	true	agent: "Edward George Armstrong" → "William Henry Blore"; patient: "Lawrence John Wargrave" → "Edward George Armstrong"	false						
